Instance,Time,Cost,Facility Open Status,Customer Status
18,10209ms,8048,1 1 0 0 0 1 1 1 0 0 0 1 1 1 1 0 0 1 0 1 ,0 12 7 7 1 12 17 13 14 17 7 19 1 6 13 11 5 7 17 6 12 5 7 19 6 17 0 17 1 17 13 7 13 0 1 7 11 19 19 13 6 0 5 0 11 5 14 6 19 6 
19,10364ms,10572,1 1 0 1 0 0 1 1 1 0 0 0 1 1 0 0 1 0 0 1 ,16 12 7 7 1 12 3 13 12 3 7 19 1 6 13 3 7 6 1 6 12 7 7 19 6 1 16 3 1 3 13 7 13 16 3 6 3 19 19 13 8 0 0 0 8 13 12 6 19 8 
20,10610ms,13116,1 1 0 0 1 1 1 1 1 0 0 0 1 0 1 0 0 1 1 0 ,0 12 7 7 1 18 17 18 14 17 7 4 1 6 18 12 5 7 4 6 12 5 7 18 6 17 0 17 1 17 18 7 18 0 1 6 8 1 1 18 14 0 5 0 8 5 14 6 4 8 
21,11307ms,8812,1 1 0 1 0 0 0 0 0 1 1 0 1 1 1 1 0 0 0 1 ,0 12 10 10 1 12 3 13 14 3 15 19 1 10 13 3 15 10 1 9 12 15 15 19 9 1 0 3 1 3 13 15 13 0 3 10 3 19 19 13 10 0 0 0 3 13 14 10 19 9 
22,10788ms,7921,0 1 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 ,16 12 10 10 1 12 17 13 14 17 15 4 1 6 13 11 15 10 4 9 12 15 15 19 6 17 16 17 1 17 13 15 13 16 1 10 11 19 19 13 6 16 5 16 11 5 14 10 19 9 
23,11179ms,10323,1 1 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0 1 0 0 ,0 12 10 10 1 12 17 2 7 17 15 1 1 6 2 3 15 10 17 6 12 15 15 2 6 17 0 17 1 17 2 7 2 0 3 10 3 1 1 2 6 0 5 0 3 5 12 10 2 6 
24,10457ms,12425,0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1 1 ,7 3 10 10 19 18 3 18 3 11 15 19 19 6 18 3 15 10 19 6 18 15 15 19 6 3 7 3 3 3 18 7 18 7 3 10 11 19 19 18 6 5 5 7 11 5 7 10 19 6 
25,29770ms,19582,1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1 ,20 11 20 0 13 5 2 9 14 0 9 28 19 20 17 14 14 0 29 11 28 4 24 2 9 8 19 24 5 24 21 25 20 25 20 20 24 15 0 14 0 14 15 8 24 14 0 13 27 8 29 28 7 11 13 13 17 27 11 17 17 24 20 27 11 11 9 0 5 25 13 13 0 7 15 8 24 13 14 5 20 0 20 17 17 0 17 7 20 29 0 9 17 0 11 5 14 19 21 13 8 19 14 25 19 29 4 0 14 28 17 14 2 0 5 27 24 24 0 11 5 8 25 13 8 0 25 9 7 25 0 0 24 5 2 8 7 5 13 17 0 28 20 14 8 27 25 5 0 5 
26,29936ms,16827,1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 ,6 11 20 17 20 25 2 25 14 17 9 20 28 20 19 14 14 0 5 11 14 0 9 17 24 8 2 24 25 5 29 5 6 11 20 20 24 24 7 2 0 14 9 28 24 17 27 13 27 28 29 19 2 0 13 13 2 29 0 14 0 24 20 27 11 11 5 0 24 24 20 6 17 17 5 20 9 8 14 24 20 7 13 0 19 11 2 7 20 5 2 24 7 25 0 9 2 2 25 8 8 7 14 25 19 29 0 0 14 14 14 2 17 11 5 11 24 9 24 24 0 8 25 13 28 7 5 24 17 29 0 11 9 5 8 8 17 5 13 0 0 28 13 14 8 25 25 5 2 24 
27,30364ms,19685,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 1 0 0 0 1 1 0 1 1 1 ,20 11 20 14 20 5 7 9 14 17 9 8 8 20 17 14 17 17 25 11 2 7 9 19 5 8 2 5 24 9 5 25 13 25 20 20 24 15 29 0 0 14 15 14 24 17 11 13 27 8 29 14 2 5 13 13 2 27 0 17 0 5 20 11 11 25 24 11 5 9 20 20 11 17 24 8 15 20 2 24 20 7 20 11 19 17 0 7 20 29 14 24 0 11 7 24 14 19 29 20 8 7 14 25 2 25 7 27 14 8 14 14 2 7 11 27 24 24 24 24 5 8 5 13 28 0 5 24 7 25 0 11 5 5 28 14 11 25 20 17 0 28 13 14 20 25 0 11 2 5 
28,29882ms,23361,1 0 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 1 1 0 0 0 1 1 0 0 0 1 ,20 7 20 7 13 11 2 24 20 17 24 8 20 20 19 8 0 17 5 25 2 0 5 19 24 20 2 5 5 15 5 11 18 11 20 20 5 5 0 14 11 14 15 8 5 14 0 13 25 8 29 14 14 5 13 20 2 25 4 14 0 5 20 11 11 11 24 0 5 29 20 8 5 0 15 8 24 14 14 24 13 7 20 0 19 17 17 4 20 29 0 24 2 0 17 5 2 2 7 13 20 17 14 25 2 25 8 25 20 8 14 14 2 0 11 11 5 24 0 11 5 8 25 13 18 0 5 29 11 29 0 7 24 5 8 17 17 11 20 17 11 8 20 2 8 25 25 5 0 5 
29,29392ms,20235,1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 1 1 0 1 1 0 0 1 1 ,20 11 20 2 20 11 2 24 8 0 9 8 28 8 7 8 14 17 29 0 14 0 5 17 22 8 19 24 5 22 5 25 6 11 20 8 24 24 0 14 7 14 9 20 24 14 11 13 29 28 29 14 14 5 6 20 17 11 0 14 17 5 14 11 11 11 22 0 5 24 20 20 11 0 24 13 24 8 2 24 20 7 20 7 19 7 2 7 8 29 0 24 7 11 7 24 17 19 21 28 28 17 14 25 2 29 7 25 14 28 17 14 2 0 0 21 0 24 5 11 5 8 11 8 20 7 5 9 0 29 17 11 24 21 8 14 7 29 13 17 0 13 20 14 20 11 11 5 17 5 
30,29469ms,17420,1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 ,20 29 20 2 8 5 2 25 2 0 9 13 8 20 17 14 14 17 25 0 2 0 22 17 5 14 19 5 9 24 25 25 18 29 8 14 5 9 7 14 17 14 24 8 5 17 4 20 11 8 29 2 14 5 13 8 2 27 7 20 0 5 20 11 11 25 22 0 24 24 20 20 11 17 24 14 9 8 2 24 20 17 13 17 19 17 2 7 20 5 17 24 0 11 17 5 2 19 5 18 8 17 17 11 2 29 4 7 8 8 17 14 2 11 11 27 24 9 5 24 11 8 11 20 18 0 11 9 0 25 11 25 24 5 8 2 7 29 20 11 11 8 20 14 8 27 25 5 2 5 
31,30260ms,20019,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 ,13 11 8 14 8 11 2 9 28 0 25 20 8 8 19 8 17 0 5 11 2 0 5 2 5 20 17 24 11 24 27 25 13 11 20 8 24 9 0 14 11 14 24 8 24 14 7 13 27 8 29 14 14 11 13 20 2 29 11 14 11 5 20 0 17 11 24 7 9 5 20 20 11 17 9 8 24 20 14 24 8 7 20 0 2 17 17 7 14 5 2 24 17 27 17 9 2 2 29 13 8 17 17 25 19 29 0 11 8 28 14 2 2 11 25 11 24 5 24 24 11 8 5 13 20 0 25 24 0 25 0 0 24 25 8 20 17 5 20 17 0 20 20 14 0 25 25 5 17 25 
32,30186ms,21215,1 0 1 0 0 1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 0 ,6 25 20 2 20 5 2 24 14 17 25 8 20 20 2 14 14 0 5 11 2 0 24 19 25 8 2 25 24 17 5 5 6 11 20 8 5 24 25 2 17 14 24 28 24 14 7 20 27 28 25 14 2 11 6 20 17 25 0 14 0 25 20 27 11 11 5 17 24 25 8 6 11 0 24 28 25 20 19 24 14 7 20 17 19 17 2 7 8 5 2 25 0 11 17 11 2 2 25 8 8 17 0 25 19 25 17 11 8 28 14 28 2 0 11 25 24 5 24 5 5 28 5 20 8 7 5 24 0 27 17 27 24 27 8 14 17 5 20 17 0 28 20 14 8 11 11 5 17 24 
33,30352ms,19297,1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 1 0 1 0 1 1 0 0 0 1 1 0 1 1 1 ,20 11 13 2 20 5 17 9 14 17 9 8 28 8 17 8 14 17 29 11 2 7 9 19 5 8 19 11 9 24 29 25 6 29 8 14 24 15 7 17 0 14 24 8 24 17 7 20 27 28 29 28 2 11 13 14 14 27 11 14 0 11 20 11 11 5 24 0 9 9 20 6 11 17 24 28 15 20 14 5 13 7 20 11 19 17 17 19 8 29 2 24 17 11 17 5 2 19 25 13 8 17 0 25 19 5 17 7 14 28 14 2 2 11 11 27 24 24 24 24 0 8 25 14 20 0 5 9 0 29 0 11 24 5 8 14 7 25 20 17 0 28 20 14 8 25 0 5 2 5 
34,29256ms,15313,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 ,20 25 13 2 20 11 2 24 8 17 9 20 8 20 17 14 14 17 5 11 14 7 24 17 5 8 17 5 9 5 5 25 20 25 8 13 9 9 0 14 0 20 24 8 24 14 7 20 0 8 29 2 14 5 8 20 2 11 0 17 0 5 14 11 11 11 9 17 29 9 8 13 25 0 24 20 24 20 14 9 20 7 20 17 17 17 17 7 17 29 17 24 17 11 7 9 2 2 25 20 20 17 11 11 2 29 17 25 14 8 14 14 2 11 25 11 24 24 24 24 5 8 11 8 7 17 5 24 11 29 0 0 24 5 8 14 7 5 20 17 0 8 20 14 20 25 11 5 0 5 
35,30160ms,18824,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 0 ,20 11 20 14 20 5 17 24 28 17 5 8 20 20 2 14 14 17 5 11 14 0 9 2 5 8 2 24 5 24 5 25 17 11 20 20 5 9 7 2 0 2 9 28 24 17 7 20 11 8 25 28 14 5 13 13 2 11 0 17 0 5 14 11 11 11 24 0 9 9 20 13 11 14 5 8 9 20 17 9 13 7 13 17 17 0 0 0 20 5 17 9 0 11 17 5 14 2 25 20 8 17 14 25 0 25 7 0 14 8 14 14 17 11 0 27 11 5 24 11 5 8 25 13 20 0 5 9 7 25 11 11 9 5 8 14 7 25 20 0 0 20 20 17 8 27 11 5 0 11 
36,30739ms,22921,1 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 1 ,13 25 20 17 13 11 19 24 8 17 22 8 13 20 19 14 14 0 5 11 7 0 24 17 5 8 2 24 5 5 29 11 20 7 20 14 24 22 0 14 17 14 24 8 24 14 0 28 2 28 5 14 2 11 20 20 0 11 0 14 0 5 20 0 11 25 24 11 24 5 8 20 5 7 24 8 24 20 17 24 20 7 20 17 2 17 2 11 20 25 2 5 0 0 11 25 2 7 27 13 8 17 17 25 2 25 17 11 19 28 14 2 2 11 11 27 24 24 24 5 5 28 25 13 8 0 5 22 0 29 17 11 24 24 8 14 17 5 2 17 0 8 20 14 14 27 11 5 2 0 
37,30031ms,19252,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 1 0 1 0 1 1 0 0 0 0 1 0 1 1 1 ,20 11 20 2 13 11 17 9 28 17 9 8 28 20 17 8 0 17 5 11 2 17 29 19 9 20 19 5 5 9 29 11 13 25 20 8 11 15 0 14 0 14 9 28 9 14 7 13 27 14 25 14 17 5 20 20 17 0 0 14 17 5 14 11 11 11 9 0 5 9 20 20 11 7 9 8 9 8 14 5 8 0 20 11 19 17 17 7 14 5 2 9 7 0 17 9 2 17 29 20 8 7 0 11 2 29 0 0 14 14 14 14 2 11 11 27 11 15 11 5 5 8 25 13 20 7 5 27 17 29 0 0 5 25 20 17 7 5 20 17 17 28 20 17 8 11 11 5 2 5 
38,29917ms,16152,1 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 ,20 11 28 14 8 5 2 9 2 17 5 8 8 20 7 14 17 0 25 11 14 0 22 17 24 8 2 11 24 5 5 25 13 27 20 20 24 24 11 14 0 8 9 8 11 14 7 13 27 28 21 2 14 11 20 20 2 25 0 14 17 24 20 11 11 0 22 17 22 24 20 13 11 0 24 8 24 20 2 9 20 7 20 17 0 7 2 4 20 5 2 9 0 11 17 5 14 2 21 13 8 17 17 5 14 17 17 11 14 28 17 28 2 11 11 21 5 5 5 24 11 8 25 13 20 7 5 9 0 11 0 27 24 22 14 14 4 5 20 17 0 28 13 0 8 25 25 11 2 5 
39,30515ms,20232,1 0 1 1 1 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 ,20 25 13 14 20 11 19 24 14 17 5 20 28 20 3 14 0 17 25 17 19 0 5 3 24 8 17 24 5 24 29 11 20 25 20 20 24 5 7 17 17 14 24 8 11 17 4 20 17 28 29 28 14 11 20 13 14 11 0 17 11 5 8 11 0 11 5 0 5 24 13 20 11 17 24 28 24 20 14 5 20 0 8 17 19 17 17 4 8 5 17 24 17 27 17 29 14 3 25 13 8 7 17 25 19 25 17 11 14 28 0 28 2 11 11 27 24 29 24 5 5 13 11 13 13 0 5 24 0 5 0 11 5 24 8 14 7 5 20 17 17 8 20 14 8 25 25 5 2 5 
40,30286ms,23988,1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 1 1 1 ,20 25 8 2 8 5 19 24 14 0 9 8 8 20 3 14 14 0 5 11 19 0 29 19 5 8 17 24 9 9 5 11 6 25 17 14 5 24 17 17 0 14 24 14 24 17 7 13 27 8 29 14 14 5 13 20 17 11 0 14 0 24 20 11 17 25 9 0 5 9 13 6 11 17 24 28 24 14 14 24 13 0 13 17 17 17 0 7 20 29 19 24 17 11 17 24 14 3 27 13 8 17 17 11 2 29 17 0 8 8 17 14 0 7 11 25 24 24 24 24 5 28 25 20 28 0 25 9 0 25 17 27 24 5 28 14 7 5 20 17 0 28 20 17 8 27 25 5 2 24 
41,16099ms,7208,1 1 1 1 1 1 1 1 1 1 ,5 6 4 1 7 9 3 7 8 8 4 9 2 6 2 7 7 3 0 6 6 1 4 1 6 5 5 4 8 5 8 0 0 0 3 2 2 6 6 2 2 7 3 3 3 5 0 5 6 4 1 1 6 6 9 7 2 8 8 8 0 0 1 5 0 6 6 6 4 4 0 4 4 0 7 7 2 2 9 5 7 2 2 7 7 9 2 2 9 9 
42,17946ms,8654,1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 0 1 1 ,12 10 11 9 15 18 16 3 16 1 11 18 19 10 19 15 0 2 14 14 5 11 9 8 12 8 11 16 2 4 1 19 19 8 14 10 10 0 0 1 0 3 3 16 9 5 8 19 15 15 1 1 1 4 2 9 2 14 14 14 3 11 4 3 11 3 0 15 19 15 10 18 19 19 19 18 18 19 19 19 
43,18938ms,7897,1 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 1 0 ,18 20 11 23 25 20 25 8 27 27 23 23 25 0 18 11 8 11 18 18 25 3 20 20 20 3 27 6 27 4 28 23 23 25 0 0 1 1 11 11 4 18 27 23 28 25 3 20 20 11 8 0 0 6 6 6 0 20 23 28 28 1 1 28 27 27 1 27 1 28 
44,14577ms,7266,1 1 1 1 1 1 1 1 1 1 ,4 4 4 4 4 4 4 4 0 0 0 0 6 0 0 0 1 1 1 7 8 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 4 0 1 1 2 1 7 5 9 9 7 6 5 5 9 8 7 7 9 5 5 5 9 3 0 6 6 8 1 5 4 9 9 7 7 8 6 6 5 8 7 9 9 9 9 5 6 5 7 5 
45,17254ms,8386,1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 1 0 ,0 0 0 0 0 15 0 1 1 1 18 15 1 1 15 2 3 3 2 3 2 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 0 0 2 3 11 12 18 16 16 3 15 16 8 13 11 16 18 16 5 15 9 9 12 2 15 17 13 13 8 11 9 9 18 12 13 17 17 17 8 16 9 13 
46,18045ms,7674,1 0 0 1 0 1 0 0 0 1 1 1 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 ,10 0 10 10 10 0 10 11 11 11 11 11 11 11 11 3 3 3 3 3 3 17 5 5 5 17 5 9 9 9 9 9 9 13 0 3 3 17 17 28 28 3 20 22 17 14 14 27 13 28 0 27 27 22 3 14 13 22 14 14 3 20 28 14 14 27 14 13 20 28 
47,14814ms,6651,1 1 1 1 1 1 1 1 1 1 ,9 0 0 0 0 2 0 0 0 0 1 1 1 0 1 1 1 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 7 7 6 7 6 0 7 7 7 7 7 8 8 6 8 6 6 8 8 8 6 2 9 9 9 9 9 8 
48,16660ms,8035,1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 ,0 0 0 0 1 0 1 1 1 3 3 3 3 3 3 4 4 4 5 5 5 5 5 5 6 6 6 6 6 7 7 8 8 8 8 8 8 8 9 9 9 9 10 10 10 10 10 10 12 13 12 13 13 12 13 14 14 12 14 12 0 14 14 14 14 16 16 17 17 13 17 17 17 18 18 19 18 19 19 19 
49,18192ms,7049,0 1 1 0 0 1 1 1 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 ,1 1 1 2 2 2 2 2 5 5 5 5 5 6 6 6 14 7 7 7 7 7 7 7 15 7 7 13 13 15 14 13 13 14 15 14 16 16 16 16 16 16 19 19 19 14 19 19 23 19 23 19 1 23 23 23 23 24 24 24 24 24 24 24 28 1 28 28 28 28 
50,16538ms,9838,1 1 1 1 1 1 1 1 0 1 ,3 6 3 0 9 9 5 5 3 7 7 4 1 9 9 1 2 5 5 3 4 0 0 4 0 4 7 4 4 7 7 7 3 3 3 5 1 9 0 6 0 9 1 1 5 5 7 5 5 3 3 5 4 4 0 0 9 6 1 2 9 7 7 7 3 3 0 4 7 7 3 0 6 6 0 4 4 3 3 4 3 5 2 2 2 2 6 7 2 7 9 1 2 2 2 1 9 2 9 2 
51,19919ms,9989,1 1 1 1 0 1 0 0 0 0 1 0 1 1 0 1 1 1 1 1 ,15 0 19 10 16 13 5 16 15 5 5 3 13 13 0 12 12 16 2 15 0 0 10 19 10 10 1 19 19 19 1 1 19 19 15 5 13 18 10 0 0 13 18 13 16 5 5 5 5 17 15 2 18 10 10 10 0 0 13 12 13 5 1 5 15 15 10 3 1 1 19 0 0 0 10 19 19 19 17 3 19 5 16 12 18 13 13 2 12 1 13 13 18 13 18 18 13 18 13 13 
52,16761ms,9552,0 1 0 1 1 1 1 1 1 1 ,7 7 7 7 7 7 7 7 3 4 4 4 3 4 4 4 4 8 5 8 8 3 3 8 8 5 9 9 9 9 9 9 9 5 6 6 6 6 6 6 6 6 6 6 7 7 4 8 8 5 8 3 4 6 7 5 3 3 3 4 6 9 5 3 3 3 9 6 4 7 6 6 4 3 3 5 3 4 7 1 6 3 3 5 5 3 3 7 5 3 5 9 9 1 5 1 3 4 3 7 
53,20048ms,11458,0 0 1 1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 ,5 5 5 5 5 5 5 5 19 19 19 7 7 7 19 7 7 12 13 13 13 12 13 12 3 9 9 9 9 15 15 9 9 15 18 18 18 18 18 18 18 18 18 18 5 5 19 12 13 15 15 4 7 18 5 15 3 13 3 6 18 2 15 12 4 13 2 5 6 5 17 18 6 3 3 9 3 6 6 2 18 7 13 15 15 3 3 6 13 3 15 2 17 17 15 17 3 6 4 5 
54,16102ms,9674,1 1 1 1 1 1 1 1 1 1 ,7 7 7 7 7 7 7 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 6 6 8 8 8 8 6 8 8 8 8 8 3 6 6 6 6 6 6 6 6 6 5 5 6 5 5 5 6 6 0 0 6 0 5 7 0 0 0 0 0 0 0 0 4 4 4 4 4 4 4 4 9 4 9 9 4 9 4 9 9 
55,19332ms,10681,1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 ,17 17 17 18 16 8 16 8 8 8 2 8 2 8 18 2 2 2 2 6 6 12 6 12 12 12 14 12 6 6 6 14 14 6 6 6 6 6 6 7 7 7 0 7 0 0 0 0 0 0 0 0 10 7 7 7 10 7 7 10 11 9 11 11 13 11 11 7 11 9 9 11 9 11 17 13 9 13 9 9 13 15 13 15 15 15 15 15 15 15 15 18 18 18 18 17 18 18 18 18 
56,38245ms,30952,1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 ,18 19 21 18 2 6 16 11 27 0 29 28 13 1 28 18 3 20 27 17 11 16 2 24 5 18 18 19 29 5 14 26 26 24 28 6 8 8 24 15 18 13 6 4 8 19 13 21 6 10 24 16 24 21 8 4 25 8 27 25 4 0 25 20 20 11 2 19 19 25 18 12 4 8 23 13 20 13 20 16 8 17 26 25 29 20 4 2 27 7 11 19 25 7 2 1 28 12 17 28 17 15 11 11 29 0 4 24 24 3 19 26 27 12 11 8 28 25 14 13 26 12 17 6 26 16 2 11 6 28 28 2 12 20 5 8 3 3 14 10 11 27 28 11 12 5 21 16 18 11 24 17 10 17 8 6 2 15 3 1 3 27 10 2 23 27 5 4 1 16 1 23 19 14 26 21 24 10 29 10 5 2 16 28 12 8 17 10 0 24 2 21 6 4 11 12 12 2 20 6 
57,37610ms,38001,1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 ,25 14 21 27 2 12 15 27 22 17 4 28 13 3 28 18 3 13 27 24 22 16 23 24 20 18 22 19 4 21 6 6 26 16 0 12 8 9 24 16 18 9 6 26 8 26 13 21 19 17 24 16 0 21 20 12 11 9 27 11 4 2 7 13 13 11 5 17 28 25 18 6 19 8 5 23 8 23 8 24 23 17 9 7 26 10 6 5 27 18 28 19 25 25 17 8 27 12 2 17 28 15 25 18 4 0 12 22 22 3 19 4 24 12 25 8 11 7 17 8 26 11 14 19 26 15 2 12 19 0 11 24 11 20 23 20 3 3 28 10 12 22 28 25 25 10 24 2 27 11 24 17 23 0 20 28 5 15 13 20 13 27 23 24 2 27 23 4 13 16 13 8 19 20 26 2 27 10 4 20 5 21 2 19 11 8 28 23 27 21 2 2 6 4 18 12 18 15 23 19 
